Part,Quanity,Price,Total Price,Weight in bot,Provider
,,,,,
Drive Motors,2,$5.00,Owned,in drive pod,https://betafpv.com/products/1805-brushless-motors?variant=31773521150086
Weapon Motors,1,$45,$45,56.3,https://www.aliexpress.us/item/3256808127556178.html?spm=a2g0o.productlist.main.1.4aa0QgwAQgwA4Y&algo_pvid=25627a4d-6878-4276-b108-8b771e00b8f1&algo_exp_id=25627a4d-6878-4276-b108-8b771e00b8f1-0&pdp_ext_f=%7B%22order%22%3A%22374%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2190.13%2145.42%21%21%2190.13%2145.42%21%4021030a4b17651558051204348ed4b8%2112000044581432348%21sea%21US%212956977473%21X%211%210%21n_tag%3A-29919%3Bd%3Af54cf0c2%3Bm03_new_user%3A-29895%3BpisId%3A5000000195988083&curPageLogUid=eA32raZQbFWt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008313870930%7C_p_origin_prod%3A
Reciever,1,$6,$6,0.9,https://www.aliexpress.us/item/3256804714662317.html?spm=a2g0o.cart.0.0.6c8138damJGm9i&mp=1&pdp_npi=5%40dis%21USD%21USD%206.16%21USD%206.16%21%21USD%204.16%21%21%21%402101ef7017504365178903148e6532%2112000030953927637%21ct%21US%212956977473%21%211%210&gatewayAdapt=glo2usa
Weapon esc,,$10,$10,8,https://www.aliexpress.us/item/3256809081900244.html?spm=a2g0o.imagesearchproductlist.main.4.710bX7aXX7aXu0&algo_pvid=40569410-e19a-4a57-a159-480ab8b7dd85&algo_exp_id=40569410-e19a-4a57-a159-480ab8b7dd85&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2120.95%2110.47%21%21%2120.95%2110.47%21%402103212517656980336596770ef6e8%2112000048549475529%21sea%21US%212956977473%21X%211%210%21bm%3A1&curPageLogUid=zjOh0fPyJMXt&utparam-url=scene%3Aimage_search%7Cquery_from%3Apc_web_image_search%7Cx_object_id%3A1005009268214996%7C_p_origin_prod%3A&gatewayAdapt=4itemAdapt#nav-specification
drive escs,2,$6,$12,7,https://www.aliexpress.us/item/3256810317784355.html?spm=a2g0o.imagesearchproductlist.main.18.256cZd12Zd12uA&algo_pvid=6bd0e1bd-1f87-4cb9-8d21-c9312a865b59&algo_exp_id=6bd0e1bd-1f87-4cb9-8d21-c9312a865b59&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2137.61%216.85%21%21%21263.74%2148.02%21%40210318a717656982743526054ef0cc%2112000052612654062%21sea%21US%212956977473%21X%211%210%21n_tag%3A-29919%3Bd%3Af54cf0c2%3Bm03_new_user%3A-29895%3BpisId%3A5000000195909135&curPageLogUid=KQ0VNzWZtr1r&utparam-url=scene%3Aimage_search%7Cquery_from%3Apc_web_image_search%7Cx_object_id%3A1005010504099107%7C_p_origin_prod%3A&gatewayAdapt=4itemAdapt#nav-specification
Power Switch,1,$9,$9,2.15,https://repeat-robotics.com/buy/fingertech-switch/
Batteries,2,$11,$22,34,https://www.gaoneng.shop/products/gaoneng-gnb-lihv-4s-15.2v-350mah-70c-xt30-lipo-battery
Weapon,2,$14,$30,117,sendcutsend
Uhmw Sheet,1,$9,$9,,https://www.amazon.com/DMiotech-Molecular-Polyethylene-Automotive-Manufacturing/dp/B0D79F2FXK?crid=38NQ82ZZWQ8DX&dib=eyJ2IjoiMSJ9.vzVJ2N7f3G65eUHf4ODILsQeLI-DIUNH2JcrDQ4EJE8Jij7XSAI1pyLyEY_cuFoFW2F-dZzlYiUmMsPzJoPAjGggls_nTQM6Hw50ypYQbQNyudZqTpbdpVWHbUkC4d-QRn0rtqaeAgvw53s8cIODDTTX5kJTwFNxPA4_Kb7QJjMgH3hthx9m_dorjirFAfslrKj-kI_W-M-8SfH8GG5eaGhRaRveXWlK-O252XJHpC0.CI2pWpmbvtpt2XZfuuZIh_w0qyP6FlW-gLuzhIIq5TY&dib_tag=se&keywords=1%2F4%2Bin%2Buhmw%2Bsheet&qid=1765763045&sprefix=1%2F4%2Bin%2Buhmw%2B%2Caps%2C185&sr=8-11&th=1
Carbon FIber Sheet,1,$17,$17,,https://www.amazon.com/Lanstics-Laminate-Thickness-Surface-200X300X0-5MM/dp/B0DZ6M85QQ?crid=236AVPWHMNRY6&dib=eyJ2IjoiMSJ9.lzNRkaS8X0zTvQ3hpg5gOQk4j1Uq4wr99JnAoUEYXuhNwhSS_QCy2y4CwyGMLnkPJnW405OtGuOU2SPho1rSEqwaNt8WoYmcPYTBCDLc0z-K1ZVZIGMOlsc1UVopNrySILNzBpnVOg8r3-zqEGdz_pn7sAOJZjZpR5fNmyyP4hFigTXuu2Q_O9AGvRBbG74dYtJd7AZKYE3OrKh2zgBIqrPenGaSgSib4hhjXpjOWGY.Pob4fCtL4_YcddY2pNwe08EdXeu6NMoKSxMKLCu_Ppg&dib_tag=se&keywords=carbon%2Bfiber%2Bsheet&qid=1765762403&sprefix=Carbon%2Bdib%2Caps%2C261&sr=8-1&th=1
Armor Sets,3,3d printed,3d printed,46,
Body,3,3d printed,3d printed,56,
Weapon Gears,1,3d Printed,3d Printed,18,
Uprights,3,3d printed,3d printed,44.8,
Lid,3,3d printed,3d printed,11,
Bottom lid,1,unknown,unknown,8.7,
Motor Casing,1,3d Printed,3d Printed,11,
Drive Pods,4,3d printed,3d printed,113,
Weapon Shaft,,,,14.2,
Wires/Misc parts,0,I already have them,$0,10,
Aliexpress total with shipping,,,$83.57,,
Geoneng total with shipping,,10,$31,,
Repeat total with shipping,,5,$14,,
Amazon total,,,$27,,
send cut send total,,,$34,,
,,,,566,
,,,$191,-558.05,
,,,,7.95,

